Division Number: 275
Division Date: 28 June 2023

Relationships and Sexuality Education (Northern Ireland) (Amendment) Regulations 2023

Aye Count: 373
No Count: 28
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Independent","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye",""
"Bim Afolami","Conservative","Hitchin and Harpenden","Aye",""
"Adam Afriyie","Conservative","Windsor","Aye",""
"Nickie Aiken","Conservative","Cities of London and Westminster","Aye",""
"Peter Aldous","Conservative","Waveney","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","No Vote Recorded",""
"Tahir Ali","Labour","Birmingham, Hall Green","No Vote Recorded",""
"Lucy Allan","Conservative","Telford","No Vote Recorded",""
"Rosena Allin-Khan","Labour","Tooting","No Vote Recorded",""
"Mike Amesbury","Labour","Weaver Vale","Aye",""
"Fleur Anderson","Labour","Putney","Aye",""
"Lee Anderson","Conservative","Ashfield","Aye",""
"Stuart Anderson","Conservative","Wolverhampton South West","Aye",""
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","No Vote Recorded",""
"Tonia Antoniazzi","Labour","Gower","Aye",""
"Edward Argar","Conservative","Charnwood","Aye",""
"Jonathan Ashworth","Labour","Leicester South","No Vote Recorded",""
"Sarah Atherton","Conservative","Wrexham","No Vote Recorded",""
"Victoria Atkins","Conservative","Louth and Horncastle","Aye",""
"Gareth Bacon","Conservative","Orpington","Aye",""
"Richard Bacon","Conservative","South Norfolk","No Vote Recorded",""
"Kemi Badenoch","Conservative","Saffron Walden","Aye",""
"Shaun Bailey","Conservative","West Bromwich West","Aye",""
"Siobhan Baillie","Conservative","Stroud","Aye",""
"Duncan Baker","Conservative","North Norfolk","Aye",""
"Steve Baker","Conservative","Wycombe","Aye",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye",""
"Steve Barclay","Conservative","North East Cambridgeshire","Aye",""
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"Paula Barker","Labour","Liverpool, Wavertree","Aye",""
"John Baron","Conservative","Basildon and Billericay","Aye",""
"Simon Baynes","Conservative","Clwyd South","Aye",""
"Margaret Beckett","Labour","Derby South","Aye",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No Vote Recorded",""
"Aaron Bell","Conservative","Newcastle-under-Lyme","No Vote Recorded",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Scott Benton","Independent","Blackpool South","No",""
"Paul Beresford","Conservative","Mole Valley","No Vote Recorded",""
"Jake Berry","Conservative","Rossendale and Darwen","Aye",""
"Clive Betts","Labour","Sheffield South East","Aye",""
"Saqib Bhatti","Conservative","Meriden","Aye","Marcus Jones"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","No",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield, Hallam","Aye",""
"Paul Blomfield","Labour","Sheffield Central","Aye",""
"Crispin Blunt","Conservative","Reigate","Aye",""
"Peter Bone","Conservative","Wellingborough","Aye","Marcus Jones"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No Vote Recorded",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye",""
"Ben Bradley","Conservative","Mansfield","No Vote Recorded",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No Vote Recorded",""
"Ben Bradshaw","Labour","Exeter","Aye",""
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","Aye",""
"Suella Braverman","Conservative","Fareham","No Vote Recorded",""
"Kevin Brennan","Labour","Cardiff West","Aye",""
"Jack Brereton","Conservative","Stoke-on-Trent South","No Vote Recorded",""
"Andrew Bridgen","The Reclaim Party","North West Leicestershire","No Vote Recorded",""
"Steve Brine","Conservative","Winchester","Aye",""
"Paul Bristow","Conservative","Peterborough","Aye",""
"Sara Britcliffe","Conservative","Hyndburn","Aye",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Nicholas Brown","Independent","Newcastle upon Tyne East","Aye",""
"Lyn Brown","Labour","West Ham","Aye",""
"Anthony Browne","Conservative","South Cambridgeshire","Aye",""
"Fiona Bruce","Conservative","Congleton","No",""
"Chris Bryant","Labour","Rhondda","Aye",""
"Felicity Buchan","Conservative","Kensington","Aye",""
"Karen Buck","Labour","Westminster North","No Vote Recorded",""
"Robert Buckland","Conservative","South Swindon","Aye",""
"Alex Burghart","Conservative","Brentwood and Ongar","No Vote Recorded",""
"Richard Burgon","Labour","Leeds East","Aye",""
"Conor Burns","Conservative","Bournemouth West","No Vote Recorded",""
"Dawn Butler","Labour","Brent Central","No Vote Recorded",""
"Rob Butler","Conservative","Aylesbury","Aye",""
"Ian Byrne","Labour","Liverpool, West Derby","Aye",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye",""
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye",""
"Alun Cairns","Conservative","Vale of Glamorgan","Aye",""
"Amy Callaghan","Scottish National Party","East Dunbartonshire","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No Vote Recorded",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Dan Carden","Labour","Liverpool, Walton","No Vote Recorded",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No Vote Recorded",""
"Andy Carter","Conservative","Warrington South","Aye",""
"James Cartlidge","Conservative","South Suffolk","Aye",""
"William Cash","Conservative","Stone","Aye",""
"Miriam Cates","Conservative","Penistone and Stocksbridge","No",""
"Maria Caulfield","Conservative","Lewes","Aye",""
"Alex Chalk","Conservative","Cheltenham","Aye",""
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Sarah Champion","Labour","Rotherham","Aye",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Bambos Charalambous","Independent","Enfield, Southgate","No Vote Recorded",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No Vote Recorded",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No Vote Recorded",""
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","Aye",""
"Feryal Clark","Labour","Enfield North","No Vote Recorded",""
"Greg Clark","Conservative","Tunbridge Wells","Aye",""
"Brendan Clarke-Smith","Conservative","Bassetlaw","Aye",""
