Division Number: 245
Division Date: 22 March 2021 - 21:02

Fire Safety Bill: motion to disagree with Lords Amendments 4B, 4C, 4D and 4E

Aye Count: 322
No Count: 253
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No","Bell Ribeiro-Addy"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No","Alan Campbell"
"Nigel Adams","Conservative","Selby and Ainsty","Aye","Stuart Andrew"
"Bim Afolami","Conservative","Hitchin and Harpenden","Aye","Stuart Andrew"
"Adam Afriyie","Conservative","Windsor","Aye","Stuart Andrew"
"Imran Ahmad Khan","Conservative","Wakefield","Aye","Stuart Andrew"
"Nickie Aiken","Conservative","Cities of London and Westminster","Aye","Stuart Andrew"
"Peter Aldous","Conservative","Waveney","Aye","Stuart Andrew"
"Rushanara Ali","Labour","Bethnal Green and Bow","No","Alan Campbell"
"Tahir Ali","Labour","Birmingham, Hall Green","No","Alan Campbell"
"Lucy Allan","Conservative","Telford","Aye","Stuart Andrew"
"Rosena Allin-Khan","Labour","Tooting","No","Alan Campbell"
"Mike Amesbury","Labour","Weaver Vale","No","Alan Campbell"
"David Amess","Conservative","Southend West","No","Stuart Andrew"
"Fleur Anderson","Labour","Putney","No","Alan Campbell"
"Lee Anderson","Conservative","Ashfield","Aye","Robbie Moore"
"Stuart Anderson","Conservative","Wolverhampton South West","Aye","Stuart Andrew"
"Stuart Andrew","Conservative","Pudsey","Aye",""
"Caroline Ansell","Conservative","Eastbourne","No","Stuart Andrew"
"Tonia Antoniazzi","Labour","Gower","No","Alan Campbell"
"Edward Argar","Conservative","Charnwood","Aye","Stuart Andrew"
"Jonathan Ashworth","Labour","Leicester South","No","Alan Campbell"
"Sarah Atherton","Conservative","Wrexham","Aye","Stuart Andrew"
"Victoria Atkins","Conservative","Louth and Horncastle","Aye","Stuart Andrew"
"Gareth Bacon","Conservative","Orpington","Aye","Stuart Andrew"
"Richard Bacon","Conservative","South Norfolk","Aye","Stuart Andrew"
"Kemi Badenoch","Conservative","Saffron Walden","Aye","Stuart Andrew"
"Shaun Bailey","Conservative","West Bromwich West","Aye","Stuart Andrew"
"Siobhan Baillie","Conservative","Stroud","Aye","Stuart Andrew"
"Duncan Baker","Conservative","North Norfolk","Aye","Stuart Andrew"
"Steve Baker","Conservative","Wycombe","Aye",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye","Stuart Andrew"
"Steve Barclay","Conservative","North East Cambridgeshire","Aye","Stuart Andrew"
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"Paula Barker","Labour","Liverpool, Wavertree","No","Alan Campbell"
"John Baron","Conservative","Basildon and Billericay","No","Stuart Andrew"
"Simon Baynes","Conservative","Clwyd South","Aye","Stuart Andrew"
"Margaret Beckett","Labour","Derby South","No","Alan Campbell"
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No","Bell Ribeiro-Addy"
"Aaron Bell","Conservative","Newcastle-under-Lyme","Aye","Stuart Andrew"
"Hilary Benn","Labour","Leeds Central","No","Alan Campbell"
"Scott Benton","Conservative","Blackpool South","Aye","Stuart Andrew"
"Paul Beresford","Conservative","Mole Valley","Aye","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","Aye","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","No","Alan Campbell"
"Saqib Bhatti","Conservative","Meriden","Aye","Stuart Andrew"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","No","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield, Hallam","No","Alan Campbell"
"Paul Blomfield","Labour","Sheffield Central","No","Alan Campbell"
"Crispin Blunt","Conservative","Reigate","Aye","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","No","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No Vote Recorded",""
